team,name,state,country,district,rookie_year,active,norm_epa,wins,losses,ties,count,winrate
372,RoboKnights,WA,USA,NULL,2000,f,1518,20,28,3,51,0.4216
373,Falcons ,NY,USA,NULL,2000,f,1514,6,13,1,20,0.325
374,The IceBreakers,AK,USA,NULL,2000,f,1355,16,22,0,38,0.4211
375,Robotic Plague,NY,USA,NULL,2000,f,1502,268,172,5,445,0.6079
376,Team 376,CA,USA,NULL,2000,f,1436,25,19,2,46,0.5652
378,The Circuit Stompers,NY,USA,NULL,2000,t,1553,285,251,6,542,0.5314
379,The RoboCats,OH,USA,NULL,2000,t,1560,401,330,18,749,0.5474
380,G-FORCE,NY,USA,NULL,2000,f,1411,46,53,3,102,0.4657
381,Tornadoes,NJ,USA,NULL,2000,f,1683,84,89,2,175,0.4857
382,Twisted Blizzard,OH,USA,NULL,2000,f,1455,28,33,0,61,0.459
383,Brazilian Machine,NULL,Brazil,NULL,2000,f,1464,175,131,8,314,0.5701
384,SPARKY 384,VA,USA,chs,2000,t,1632,381,243,16,640,0.6078
386,Team Voltage,FL,USA,NULL,2000,t,1584,309,222,12,543,0.5801
388,Maximum Oz,VA,USA,NULL,2000,f,1477,59,69,6,134,0.4627
391,Titanium Rampage,MI,USA,NULL,2000,f,1367,27,38,4,69,0.4203
393,Full Metal Jackets (FMJ393),IN,USA,NULL,2000,f,1455,67,98,8,173,0.4104
394,Team 394,CT,USA,NULL,2000,f,1424,2,6,0,8,0.25
395,2 Train Robotics,NY,USA,NULL,2000,f,1519,271,224,8,503,0.5467
397,Knight Riders,MI,USA,fim,2000,f,1624,127,144,9,280,0.4696
398,The Thundering Herd,PA,USA,NULL,2000,f,1442,35,37,1,73,0.4863
399,Eagle Robotics,CA,USA,NULL,2000,t,1546,509,331,14,854,0.6042
400,The Blue Dragons,VA,USA,NULL,2000,f,1438,11,11,0,22,0.5
401,Copperhead Robotics,VA,USA,chs,2000,t,1636,335,252,10,597,0.5695
404,⚒️   NOT FOUND!   ⚒️,VA,USA,chs,2000,t,1463,28,38,3,69,0.4275
405,The Chameleons,VA,USA,NULL,2000,f,1392,44,65,4,113,0.4071
406,Mumford Chargers,MI,USA,fim,2000,f,1440,55,101,6,162,0.358
407,Team 407,MI,USA,NULL,2000,f,1420,3,10,0,13,0.2308
408,The RoboTicks,FL,USA,NULL,2000,f,1306,23,46,4,73,0.3425
409,Team 409,CA,USA,NULL,2000,f,1384,4,16,1,21,0.2143
410,Psychos,CA,USA,NULL,2000,f,1512,6,8,0,14,0.4286
411,The Creeping Crawlers,SC,USA,NULL,2000,f,1509,6,5,1,12,0.5417
413,Team 413,NULL,NULL,NULL,NULL,f,1433,0,0,0,0,0
414,Smokie and the Bandits,VA,USA,NULL,2000,f,1441,29,23,2,54,0.5556
415,RoBoCRAFT,SC,USA,NULL,2000,f,1563,58,73,1,132,0.4432
416,Regs,VA,USA,NULL,2000,f,1352,3,19,1,23,0.1522
417,Stangbot,NY,USA,NULL,2000,f,1435,42,57,1,100,0.425
418,Purple Haze,TX,USA,fit,2000,t,1535,289,249,9,547,0.5366
419,NDV Dragon Bots,MA,USA,NULL,2000,f,1423,3,7,0,10,0.3
420,Team 420,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
421,The Warriors,NY,USA,NULL,2000,f,1378,55,85,8,148,0.3986
422,The Mech Tech Dragons,VA,USA,chs,2000,t,1679,322,283,15,620,0.5315
423,Simple Machines FRC 423,PA,USA,fma,2000,t,1448,185,273,1,459,0.4041
424,Rust Belt Robotics,NY,USA,NULL,2000,t,1568,32,29,1,62,0.5242
425,Spartans,FL,USA,NULL,2000,f,1703,26,26,0,52,0.5
426,Zombie Apocalypse Counter Task Force,NY,USA,NULL,2000,t,1373,9,11,0,20,0.45
433,Firebirds,PA,USA,fma,2000,t,1502,304,370,6,680,0.4515
434,Kraken,TX,USA,NULL,2000,f,1304,38,49,7,94,0.4415
435,Robodogs,NC,USA,fnc,2000,t,1455,348,277,8,633,0.5561
437,Talon Robotics,TX,USA,NULL,2000,f,1410,45,50,3,98,0.4745
438,El Camino Creek Problem-Solving Programmers,TX,USA,NULL,2000,f,1473,4,5,1,10,0.45
440,The Suspects,MI,USA,fim,2000,f,1300,113,171,9,293,0.401
441,DEVIL DOGS,TX,USA,fit,2000,f,1374,111,146,6,263,0.4335
442,Redstone Robotics,AL,USA,NULL,2000,f,1479,81,118,3,202,0.4084
443,Freelance Robotics,CO,USA,NULL,2000,f,1407,49,52,8,109,0.4862
444,Philly's Extreme Team,PA,USA,NULL,2000,f,1424,34,63,4,101,0.3564
446,Robodogs,TX,USA,NULL,2000,f,1442,20,18,0,38,0.5263
447,Team Roboto,IN,USA,fin,2000,t,1534,311,324,9,644,0.4899
448,Crandroids,MI,USA,NULL,2000,f,1515,38,44,4,86,0.4651
449,The Blair Robot Project,MD,USA,chs,2000,t,1636,290,263,12,565,0.5239
451,The Cat Attack,OH,USA,NULL,2000,t,1478,184,221,11,416,0.4555
453,Rockem Sockem Robotics,MI,USA,fim,2000,t,1424,194,271,4,469,0.4179
456,Siege Robotics,MS,USA,NULL,2000,t,1544,256,193,5,454,0.5694
